time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1.407470703125,2.030029296875,1.584228515625,435.875,259.1875,434.875,36.43359375
99,1.407470703125,2.030029296875,1.584228515625,435.875,259.1875,434.875,36.43359375
101,-8.0,-8.0,-8.0,-2048.0,357.25,-2048.0,36.43359375
103,-8.0,-8.0,-8.0,-2048.0,357.25,-2048.0,36.43359375
105,7.999755859375,7.999755859375,7.999755859375,-1356.8125,-2048.0,-2048.0,36.43359375
107,7.999755859375,7.999755859375,7.999755859375,-1356.8125,-2048.0,-2048.0,36.43359375
109,7.999755859375,7.999755859375,7.999755859375,-1356.8125,-2048.0,-2048.0,36.43359375
111,-0.874267578125,0.091064453125,-0.44775390625,7.5625,-3.375,-3.1875,36.43359375
113,-0.874267578125,0.091064453125,-0.44775390625,7.5625,-3.375,-3.1875,36.43359375
115,-0.873779296875,0.093505859375,-0.451416015625,7.5625,-3.3125,-3.3125,36.43359375
117,-0.873779296875,0.093505859375,-0.451416015625,7.5625,-3.3125,-3.3125,36.43359375
118,-0.875732421875,0.095458984375,-0.452392578125,7.125,-3.3125,-3.25,36.43359375
120,-0.875732421875,0.095458984375,-0.452392578125,7.125,-3.3125,-3.25,36.43359375
122,-0.875732421875,0.095458984375,-0.452392578125,7.125,-3.3125,-3.0,36.43359375
124,-0.876708984375,0.097900390625,-0.451904296875,5.1875,-3.375,-3.0,36.5703125
127,-0.876708984375,0.097900390625,-0.451904296875,5.1875,-3.375,-2.875,36.5703125
129,-0.873291015625,0.0986328125,-0.453857421875,3.875,-3.4375,-2.875,36.5703125
131,-0.873291015625,0.0986328125,-0.453857421875,3.875,-3.4375,-2.875,36.5703125
133,-0.8740234375,0.1025390625,-0.458251953125,2.9375,-3.5625,-2.6875,36.5703125
134,-0.8740234375,0.1025390625,-0.458251953125,2.9375,-3.5625,-2.6875,36.5703125
136,-0.8740234375,0.103515625,-0.458984375,2.375,-3.6875,-2.75,36.5703125
138,-0.8740234375,0.103515625,-0.458984375,2.375,-3.6875,-2.75,36.5703125
140,-0.8740234375,0.103515625,-0.458984375,1.9375,-3.9375,-2.75,36.5703125
142,-0.87646484375,0.103759765625,-0.457275390625,1.9375,-3.9375,-2.75,36.5703125
144,-0.87646484375,0.103759765625,-0.457275390625,1.9375,-3.9375,-2.75,36.5703125
146,-0.876708984375,0.104736328125,-0.455322265625,1.4375,-4.0,-2.8125,36.5703125
