time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
407,-0.742431640625,0.068115234375,0.736572265625,1,5.375,-1.8125
409,-0.742431640625,0.068115234375,0.736572265625,-0.3125,5.1875,-0.9375
411,-0.735107421875,0.068603515625,0.72802734375,-0.3125,5.1875,-0.9375
413,-0.735107421875,0.068603515625,0.72802734375,-0.3125,5.1875,-0.9375
415,-0.72802734375,0.06787109375,0.716796875,0.4375,4.5,0.0625
418,-0.72802734375,0.06787109375,0.716796875,0.4375,4.5,0.0625
420,-0.72119140625,0.06591796875,0.70849609375,2.5,3.4375,1.625
422,-0.72119140625,0.06591796875,0.70849609375,2.5,3.4375,1.625
424,-0.7158203125,0.066650390625,0.69921875,5.0625,2.0625,3.5
425,-0.7158203125,0.066650390625,0.69921875,5.0625,2.0625,3.5
427,-0.7158203125,0.071044921875,0.688232421875,7.125,0.5,5.8125
429,-0.710693359375,0.071044921875,0.688232421875,7.125,0.5,5.8125
431,-0.710693359375,0.071044921875,0.688232421875,7.125,0.5,5.8125
433,-0.701904296875,0.0771484375,0.676025390625,8.25,-1.1875,8
435,-0.701904296875,0.0771484375,0.676025390625,8.25,-1.1875,8
437,-0.693115234375,0.083251953125,0.66162109375,8.5,-2.75,9.9375
439,-0.693115234375,0.083251953125,0.66162109375,8.5,-2.75,9.9375
441,-0.688720703125,0.084228515625,0.646240234375,7.625,-4.5,12.625
443,-0.688720703125,0.084228515625,0.646240234375,7.625,-4.5,12.625
445,-0.685546875,0.080078125,0.638427734375,6.3125,-5.8125,15.5
447,-0.685546875,0.080078125,0.638427734375,6.3125,-5.8125,15.5
449,-0.685546875,0.080078125,0.638427734375,6.3125,-5.8125,15.5
451,-0.681640625,0.072509765625,0.626220703125,4.5625,-6.25,17.5
453,-0.681640625,0.072509765625,0.626220703125,4.5625,-6.25,17.5
455,-0.680908203125,0.064208984375,0.604736328125,2.25,-5.9375,19
457,-0.680908203125,0.064208984375,0.604736328125,2.25,-5.9375,19
459,-0.683349609375,0.053955078125,0.5849609375,-0.8125,-5.375,20.6875
461,-0.683349609375,0.053955078125,0.5849609375,-0.8125,-5.375,20.6875
463,-0.683349609375,0.053955078125,0.5849609375,-4.5,-4.4375,22
466,-0.6904296875,0.0400390625,0.566650390625,-4.5,-4.4375,22
467,-0.697509765625,0.023681640625,0.548828125,-7.9375,-3.1875,23.25
469,-0.697509765625,0.023681640625,0.548828125,-7.9375,-3.1875,23.25
471,-0.697509765625,0.023681640625,0.548828125,-7.9375,-3.1875,23.25
473,-0.699462890625,0.006103515625,0.536376953125,-11,-2.5,23.875
475,-0.699462890625,0.006103515625,0.536376953125,-11,-2.5,23.875
477,-0.698486328125,-0.009765625,0.53173828125,-13.3125,-1.5,23.9375
479,-0.698486328125,-0.009765625,0.53173828125,-13.3125,-1.5,23.9375
481,-0.69189453125,-0.020751953125,0.52587890625,-14.3125,0.125,23.25
483,-0.69189453125,-0.020751953125,0.52587890625,-14.3125,0.125,23.25
485,-0.69189453125,-0.020751953125,0.5234375,-14,1.75,21.9375
487,-0.693359375,-0.031494140625,0.5234375,-14,1.75,21.9375
489,-0.693359375,-0.031494140625,0.5234375,-12.9375,3.0625,20.625
491,-0.704833984375,-0.041015625,0.52587890625,-12.9375,3.0625,20.625
493,-0.704833984375,-0.041015625,0.52587890625,-12.9375,3.0625,20.625
495,-0.70849609375,-0.04248046875,0.529296875,-10.4375,4,19.4375
497,-0.70849609375,-0.04248046875,0.529296875,-10.4375,4,19.4375
499,-0.702392578125,-0.045166015625,0.532958984375,-6.5625,4.8125,18.125
501,-0.702392578125,-0.045166015625,0.532958984375,-6.5625,4.8125,18.125
503,-0.688720703125,-0.0419921875,0.541748046875,-2,5.1875,16.8125
505,-0.688720703125,-0.0419921875,0.541748046875,-2,5.1875,16.8125
506,-0.688720703125,-0.0419921875,0.541748046875,-2,5.1875,16.8125
508,-0.68359375,-0.0322265625,0.55322265625,3.125,5.0625,16
510,-0.68359375,-0.0322265625,0.55322265625,3.125,5.0625,16
513,-0.679443359375,-0.016357421875,0.5625,7.6875,4.1875,15.75
515,-0.679443359375,-0.016357421875,0.5625,7.6875,4.1875,15.75
517,-0.657470703125,-0.00390625,0.58203125,10,4.25,16.375
518,-0.657470703125,-0.00390625,0.58203125,10,4.25,16.375
520,-0.635986328125,0.0068359375,0.598876953125,9.875,5.25,17
522,-0.635986328125,0.0068359375,0.598876953125,9.875,5.25,17
524,-0.635986328125,0.0068359375,0.598876953125,9.875,5.25,17
526,-0.6220703125,0.016845703125,0.609619140625,8.8125,6.4375,17.5
528,-0.6220703125,0.016845703125,0.609619140625,8.8125,6.4375,17.5
530,-0.611083984375,0.024658203125,0.619384765625,7.4375,7.25,18.1875
532,-0.611083984375,0.024658203125,0.619384765625,7.4375,7.25,18.1875
534,-0.60009765625,0.03125,0.6279296875,5.6875,7.875,19
536,-0.60009765625,0.03125,0.6279296875,5.6875,7.875,19
538,-0.5830078125,0.03759765625,0.63525390625,4.1875,8.5,19.75
540,-0.5830078125,0.03759765625,0.63525390625,4.1875,8.5,19.75
542,-0.5830078125,0.03759765625,0.63525390625,4.1875,8.5,19.75
544,-0.562255859375,0.044189453125,0.6396484375,2.4375,9.625,20.25
546,-0.562255859375,0.044189453125,0.6396484375,2.4375,9.625,20.25
548,-0.538330078125,0.048583984375,0.64013671875,0.5625,10.625,20.625
550,-0.538330078125,0.048583984375,0.64013671875,0.5625,10.625,20.625
552,-0.529541015625,0.050537109375,0.641357421875,-1.3125,12.3125,21.125
554,-0.529541015625,0.050537109375,0.641357421875,-1.3125,12.3125,21.125
556,-0.5234375,0.051025390625,0.638671875,-3.5,13.9375,21.875
558,-0.5234375,0.051025390625,0.638671875,-3.5,13.9375,21.875
560,-0.510498046875,0.04931640625,0.639404296875,-6,15.4375,22.3125
562,-0.510498046875,0.04931640625,0.639404296875,-6,15.4375,22.3125
564,-0.510498046875,0.04931640625,0.639404296875,-6,15.4375,22.3125
566,-0.496337890625,0.0498046875,0.644775390625,-9.375,17.125,22.6875
568,-0.496337890625,0.0498046875,0.644775390625,-9.375,17.125,22.6875
570,-0.48046875,0.05615234375,0.653564453125,-13.125,19,22.8125
572,-0.48046875,0.05615234375,0.653564453125,-13.125,19,22.8125
574,-0.458984375,0.06201171875,0.660888671875,-16.75,21.375,22.25
575,-0.458984375,0.06201171875,0.660888671875,-16.75,21.375,22.25
577,-0.458984375,0.06201171875,0.660888671875,-16.75,21.375,22.25
