time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,-5.230712890625,2.960205078125,1.24658203125,434.1875,259.0,441.5625,34.921875
99,-5.230712890625,2.960205078125,1.24658203125,434.1875,259.0,441.5625,34.921875
101,7.999755859375,0.865478515625,-8.0,-2048.0,384.5625,-2048.0,34.921875
103,7.999755859375,0.865478515625,-8.0,-2048.0,384.5625,-2048.0,34.921875
105,7.999755859375,0.865478515625,-8.0,-2048.0,-2047.4375,-2048.0,34.921875
107,7.999755859375,-8.0,7.999755859375,-1504.625,-2048.0,-2048.0,34.921875
109,7.999755859375,-8.0,7.999755859375,-1504.625,-2048.0,-2048.0,34.921875
111,1.1884765625,-0.0859375,-0.17822265625,-5.0625,-19.125,-6.0625,34.921875
112,1.1884765625,-0.0859375,-0.17822265625,-5.0625,-19.125,-6.0625,34.921875
114,1.173583984375,-0.07666015625,-0.17919921875,-4.5,-22.0,-8.625,34.921875
116,1.173583984375,-0.07666015625,-0.17919921875,-4.5,-22.0,-8.625,34.921875
118,1.173583984375,-0.07666015625,-0.17919921875,-4.5,-22.0,-8.625,34.921875
121,1.15625,-0.068359375,-0.182861328125,-4.75,-25.25,-11.0625,34.921875
123,1.15625,-0.068359375,-0.182861328125,-4.75,-25.25,-11.0625,34.921875
124,1.136962890625,-0.066650390625,-0.180419921875,-6.6875,-29.375,-13.25,35.02734375
126,1.136962890625,-0.066650390625,-0.180419921875,-6.6875,-29.375,-13.25,35.02734375
128,1.122314453125,-0.070068359375,-0.176513671875,-8.1875,-33.4375,-15.125,35.02734375
130,1.122314453125,-0.070068359375,-0.176513671875,-8.1875,-33.4375,-15.125,35.02734375
132,1.111572265625,-0.072998046875,-0.17578125,-9.375,-37.25,-16.4375,35.02734375
134,1.111572265625,-0.072998046875,-0.17578125,-9.375,-37.25,-16.4375,35.02734375
136,1.111572265625,-0.072998046875,-0.17578125,-10.5625,-41.5,-17.5,35.02734375
138,1.100341796875,-0.06689453125,-0.17822265625,-10.5625,-41.5,-17.5,35.02734375
140,1.100341796875,-0.06689453125,-0.17822265625,-10.5625,-41.5,-17.5,35.02734375
142,1.08740234375,-0.053466796875,-0.18408203125,-12.375,-45.8125,-18.0625,35.02734375
144,1.08740234375,-0.053466796875,-0.18408203125,-12.375,-45.8125,-18.0625,35.02734375
146,1.070068359375,-0.0419921875,-0.19189453125,-14.0625,-50.0,-18.125,35.02734375
148,1.070068359375,-0.0419921875,-0.19189453125,-14.0625,-50.0,-18.125,35.02734375
150,1.048828125,-0.032958984375,-0.20654296875,-15.5625,-53.4375,-17.625,35.02734375
152,1.048828125,-0.032958984375,-0.20654296875,-15.5625,-53.4375,-17.625,35.02734375
154,1.048828125,-0.032958984375,-0.20654296875,-15.5625,-53.4375,-16.375,35.02734375
156,1.0263671875,-0.022705078125,-0.2255859375,-16.5625,-56.0625,-16.375,35.02734375
157,1.0263671875,-0.022705078125,-0.2255859375,-16.5625,-56.0625,-16.375,35.02734375
159,1.003662109375,-0.0185546875,-0.24951171875,-17.5625,-58.0625,-14.9375,35.02734375
161,1.003662109375,-0.0185546875,-0.24951171875,-17.5625,-58.0625,-14.9375,35.02734375
164,0.980712890625,-0.022705078125,-0.274169921875,-18.6875,-59.5,-13.5,35.02734375
166,0.980712890625,-0.022705078125,-0.274169921875,-18.6875,-59.5,-13.5,35.02734375
168,0.95947265625,-0.030517578125,-0.29931640625,-19.875,-60.3125,-12.375,35.02734375
169,0.95947265625,-0.030517578125,-0.29931640625,-19.875,-60.3125,-12.375,35.02734375
172,0.95947265625,-0.030517578125,-0.29931640625,-21.1875,-59.6875,-11.375,35.02734375
173,0.94091796875,-0.037353515625,-0.324462890625,-21.1875,-59.6875,-11.375,35.02734375
175,0.94091796875,-0.037353515625,-0.324462890625,-21.1875,-59.6875,-11.375,35.02734375
177,0.925048828125,-0.0380859375,-0.337158203125,-22.25,-57.6875,-10.375,35.02734375
179,0.925048828125,-0.0380859375,-0.337158203125,-22.25,-57.6875,-10.375,35.02734375
181,0.916748046875,-0.03369140625,-0.3466796875,-22.8125,-54.375,-9.3125,35.02734375
183,0.916748046875,-0.03369140625,-0.3466796875,-22.8125,-54.375,-9.3125,35.02734375
186,0.911865234375,-0.029052734375,-0.354248046875,-23.25,-51.1875,-8.4375,35.02734375
187,0.911865234375,-0.029052734375,-0.354248046875,-23.25,-51.1875,-8.4375,35.02734375
189,0.90966796875,-0.02685546875,-0.357421875,-23.0625,-48.375,-8.4375,35.02734375
191,0.90966796875,-0.02685546875,-0.357421875,-23.0625,-48.375,-8.4375,35.02734375
193,0.90966796875,-0.02685546875,-0.357421875,-23.0625,-48.375,-8.4375,35.02734375
195,0.9130859375,-0.026123046875,-0.35302734375,-22.6875,-46.25,-9.1875,35.02734375
197,0.9130859375,-0.026123046875,-0.35302734375,-22.6875,-46.25,-9.1875,35.02734375
199,0.925537109375,-0.015869140625,-0.345947265625,-22.0625,-44.6875,-10.8125,35.02734375
201,0.925537109375,-0.015869140625,-0.345947265625,-22.0625,-44.6875,-10.8125,35.02734375
203,0.937255859375,0.001953125,-0.33984375,-20.25,-43.0625,-12.625,35.02734375
205,0.937255859375,0.001953125,-0.33984375,-20.25,-43.0625,-12.625,35.02734375
207,0.9453125,0.01904296875,-0.32958984375,-17.1875,-41.3125,-15.0,35.02734375
209,0.9453125,0.01904296875,-0.32958984375,-17.1875,-41.3125,-15.0,35.02734375
211,0.9453125,0.01904296875,-0.32958984375,-17.1875,-41.3125,-15.0,35.02734375
213,0.9541015625,0.033447265625,-0.31591796875,-13.3125,-40.3125,-18.0625,35.02734375
215,0.9541015625,0.033447265625,-0.31591796875,-13.3125,-40.3125,-18.0625,35.02734375
217,0.967041015625,0.0458984375,-0.307373046875,-9.3125,-40.1875,-21.1875,35.02734375
219,0.967041015625,0.0458984375,-0.307373046875,-9.3125,-40.1875,-21.1875,35.02734375
221,0.98193359375,0.056640625,-0.302978515625,-5.5,-40.9375,-24.25,35.02734375
223,0.98193359375,0.056640625,-0.302978515625,-5.5,-40.9375,-24.25,35.02734375
224,0.98193359375,0.056640625,-0.302978515625,-5.5,-40.9375,-24.25,35.02734375
226,0.99853515625,0.069091796875,-0.295166015625,-2.5625,-42.0,-26.6875,35.02734375
229,0.99853515625,0.069091796875,-0.295166015625,-2.5625,-42.0,-26.6875,35.02734375
231,1.01416015625,0.07470703125,-0.28662109375,-0.5,-42.75,-28.4375,35.02734375
233,1.01416015625,0.07470703125,-0.28662109375,-0.5,-42.75,-28.4375,35.02734375
235,1.029296875,0.07861328125,-0.2744140625,1.1875,-43.6875,-29.875,35.02734375
236,1.029296875,0.07861328125,-0.2744140625,1.1875,-43.6875,-29.875,35.02734375
238,1.047119140625,0.08349609375,-0.252685546875,2.4375,-44.875,-30.625,35.02734375
240,1.047119140625,0.08349609375,-0.252685546875,2.4375,-44.875,-30.625,35.02734375
242,1.047119140625,0.08349609375,-0.252685546875,2.4375,-44.875,-30.625,35.02734375
244,1.067138671875,0.09619140625,-0.232666015625,3.375,-46.4375,-29.875,35.02734375
246,1.067138671875,0.09619140625,-0.232666015625,3.375,-46.4375,-29.875,35.02734375
248,1.083251953125,0.1162109375,-0.225830078125,4.5,-48.625,-27.75,35.02734375
250,1.083251953125,0.1162109375,-0.225830078125,4.5,-48.625,-27.75,35.02734375
253,1.087890625,0.129150390625,-0.22607421875,6.0,-50.875,-24.875,35.02734375
255,1.087890625,0.129150390625,-0.22607421875,6.0,-50.875,-24.875,35.02734375
257,1.0810546875,0.12451171875,-0.228271484375,7.8125,-53.3125,-22.25,35.02734375
258,1.0810546875,0.12451171875,-0.228271484375,7.8125,-53.3125,-22.25,35.02734375
260,1.06640625,0.09521484375,-0.228515625,9.1875,-55.375,-19.5625,35.02734375
262,1.06640625,0.09521484375,-0.228515625,9.1875,-55.375,-19.5625,35.02734375
264,1.06640625,0.09521484375,-0.228515625,9.1875,-55.375,-19.5625,35.02734375
266,1.05078125,0.05859375,-0.234375,9.375,-56.875,-16.5625,35.01953125
268,1.05078125,0.05859375,-0.234375,9.375,-56.875,-16.5625,35.01953125
270,1.03759765625,0.0322265625,-0.250732421875,9.0,-57.4375,-13.9375,35.01953125
272,1.03759765625,0.0322265625,-0.250732421875,9.0,-57.4375,-13.9375,35.01953125
274,1.017822265625,0.016357421875,-0.267578125,8.1875,-57.125,-11.875,35.01953125
276,1.017822265625,0.016357421875,-0.267578125,8.1875,-57.125,-11.875,35.01953125
278,1.017822265625,0.0048828125,-0.2822265625,7.8125,-56.0625,-10.75,35.01953125
280,1.002197265625,0.0048828125,-0.2822265625,7.8125,-56.0625,-10.75,35.01953125
282,1.002197265625,0.0048828125,-0.2822265625,7.8125,-56.0625,-10.75,35.01953125
284,0.996826171875,-0.001708984375,-0.2900390625,8.125,-54.5625,-10.3125,35.01953125
285,0.996826171875,-0.001708984375,-0.2900390625,8.125,-54.5625,-10.3125,35.01953125
287,0.999755859375,-0.0029296875,-0.2900390625,8.9375,-51.8125,-10.125,35.01953125
289,0.999755859375,-0.0029296875,-0.2900390625,8.9375,-51.8125,-10.125,35.01953125
291,0.999755859375,-0.006103515625,-0.290283203125,10.3125,-48.3125,-9.6875,35.01953125
293,1.001708984375,-0.006103515625,-0.290283203125,10.3125,-48.3125,-9.6875,35.01953125
296,0.99560546875,-0.013916015625,-0.2919921875,12.0625,-44.375,-8.625,35.01953125
298,0.99560546875,-0.013916015625,-0.2919921875,12.0625,-44.375,-8.625,35.01953125
299,0.99560546875,-0.013916015625,-0.2919921875,12.0625,-44.375,-8.625,35.01953125
301,0.98193359375,-0.02978515625,-0.29296875,13.6875,-40.3125,-7.5625,35.01953125
303,0.98193359375,-0.02978515625,-0.29296875,13.6875,-40.3125,-7.5625,35.01953125
305,0.979736328125,-0.05322265625,-0.28759765625,14.0,-36.9375,-7.5625,35.01953125
307,0.979736328125,-0.05322265625,-0.28759765625,14.0,-36.9375,-7.5625,35.01953125
309,0.989990234375,-0.0732421875,-0.2802734375,13.4375,-34.375,-7.75,35.01953125
311,0.989990234375,-0.0732421875,-0.2802734375,13.4375,-34.375,-7.75,35.01953125
313,0.989990234375,-0.0732421875,-0.2802734375,13.4375,-34.375,-7.75,35.01953125
315,0.993408203125,-0.078369140625,-0.27978515625,12.8125,-31.9375,-7.4375,35.01953125
317,0.993408203125,-0.078369140625,-0.27978515625,12.8125,-31.9375,-7.4375,35.01953125
319,0.981201171875,-0.075439453125,-0.287109375,12.75,-29.5625,-7.25,35.01953125
321,0.981201171875,-0.075439453125,-0.287109375,12.75,-29.5625,-7.25,35.01953125
323,0.962158203125,-0.07421875,-0.295654296875,13.4375,-27.75,-7.4375,35.01953125
325,0.962158203125,-0.07421875,-0.295654296875,13.4375,-27.75,-7.4375,35.01953125
327,0.948974609375,-0.080078125,-0.2939453125,14.1875,-26.75,-8.1875,35.01953125
329,0.948974609375,-0.080078125,-0.2939453125,14.1875,-26.75,-8.1875,35.01953125
331,0.948974609375,-0.080078125,-0.2939453125,14.1875,-26.75,-8.1875,35.01953125
333,0.942138671875,-0.092041015625,-0.282470703125,14.5625,-27.1875,-10.125,35.01953125
