time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,432.0,0.0
98,-4.787109375,1.68115234375,-0.9091796875,427.9375,262.4375,435.625,34.7890625
100,-4.787109375,1.68115234375,-0.9091796875,427.9375,262.4375,435.625,34.7890625
102,-8.0,-6.631103515625,7.999755859375,-2048.0,93.5,-2048.0,34.7890625
104,-8.0,-6.631103515625,7.999755859375,-2048.0,93.5,-2048.0,34.7890625
106,-8.0,1.87890625,-8.0,-1942.125,-2048.0,-2048.0,34.7890625
108,-8.0,1.87890625,-8.0,-1942.125,-2048.0,-2048.0,34.7890625
110,0.934814453125,0.190185546875,0.253173828125,2.125,3.375,3.75,34.7890625
112,0.934814453125,0.190185546875,0.253173828125,2.125,3.375,3.75,34.7890625
114,0.934814453125,0.190185546875,0.253173828125,2.125,3.375,3.75,34.7890625
116,0.941162109375,0.195556640625,0.26513671875,1.6875,4.9375,3.75,34.7890625
118,0.941162109375,0.195556640625,0.26513671875,1.6875,4.9375,3.75,34.7890625
120,0.947265625,0.199462890625,0.2783203125,1.125,6.0,3.4375,34.7890625
122,0.947265625,0.199462890625,0.2783203125,1.125,6.0,3.4375,34.7890625
124,0.955322265625,0.201171875,0.2861328125,-0.25,6.5,3.0625,34.85546875
126,0.955322265625,0.201171875,0.2861328125,-0.25,6.5,3.0625,34.85546875
128,0.9599609375,0.201416015625,0.29443359375,-0.1875,7.125,2.6875,34.85546875
130,0.9599609375,0.201416015625,0.29443359375,-0.1875,7.125,2.6875,34.85546875
132,0.960693359375,0.199462890625,0.303466796875,0.6875,7.125,1.875,34.85546875
134,0.960693359375,0.199462890625,0.303466796875,0.6875,7.125,1.875,34.85546875
136,0.960693359375,0.199462890625,0.303466796875,0.6875,7.125,1.875,34.85546875
138,0.96240234375,0.19921875,0.311767578125,1.5625,7.3125,0.9375,34.85546875
140,0.96240234375,0.19921875,0.311767578125,1.5625,7.3125,0.9375,34.85546875
142,0.96435546875,0.19921875,0.322998046875,2.625,7.1875,0.25,34.85546875
144,0.96435546875,0.19921875,0.322998046875,2.625,7.1875,0.25,34.85546875
