time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,-0.21923828125,2.955322265625,-4.11669921875,392.125,339.25,443.8125,0.0
99,-0.21923828125,2.955322265625,-4.11669921875,392.125,339.25,443.8125,33.953125
100,-0.21923828125,1.017822265625,-8.0,-2048.0,-2048.0,-2048.0,33.953125
102,-8.0,1.05810546875,-8.0,-2048.0,-2048.0,-2048.0,33.953125
104,-8.0,1.05810546875,-8.0,-2048.0,-2048.0,-2048.0,33.953125
106,7.999755859375,-8.0,-8.0,-2048.0,-2048.0,-2048.0,33.953125
108,7.999755859375,-8.0,-8.0,-2048.0,-2048.0,-2048.0,33.953125
110,-0.36279296875,-0.2568359375,1.25537109375,53.5,-120.1875,-6.5625,33.953125
112,-0.36279296875,-0.2568359375,1.25537109375,53.5,-120.1875,-6.5625,33.953125
113,-0.36279296875,-0.2568359375,1.25537109375,53.5,-120.1875,-6.5625,33.953125
115,-0.34619140625,-0.2451171875,1.248779296875,59.8125,-121.0,-8.125,33.953125
117,-0.34619140625,-0.2451171875,1.248779296875,59.8125,-121.0,-8.125,33.953125
119,-0.337890625,-0.229248046875,1.240966796875,65.625,-121.25,-9.8125,33.953125
122,-0.337890625,-0.229248046875,1.240966796875,65.625,-121.25,-9.8125,33.953125
124,-0.338134765625,-0.211181640625,1.23193359375,70.0625,-121.0625,-11.5625,34.046875
126,-0.338134765625,-0.211181640625,1.23193359375,70.0625,-121.0625,-11.5625,34.046875
127,-0.342041015625,-0.193603515625,1.22119140625,75.875,-120.3125,-12.9375,34.046875
129,-0.342041015625,-0.193603515625,1.22119140625,75.875,-120.3125,-12.9375,34.046875
131,-0.342041015625,-0.193603515625,1.22119140625,75.875,-120.3125,-13.75,34.046875
133,-0.34716796875,-0.17529296875,1.208740234375,82.375,-118.375,-13.75,34.046875
135,-0.34716796875,-0.17529296875,1.208740234375,82.375,-118.375,-13.75,34.046875
137,-0.3515625,-0.15185546875,1.200439453125,88.0625,-116.625,-14.1875,34.046875
139,-0.3515625,-0.15185546875,1.200439453125,88.0625,-116.625,-14.1875,34.046875
